X1 lower, X1 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
0.664250, 0.664260, SAFE, 4114.438321, 1562.609985, 1, 11960
0.664100, 0.664110, SAFE, 4130.607346, 1555.177490, 1, 11960
0.664010, 0.664020, SAFE, 4134.968471, 1544.201904, 1, 11960
0.664230, 0.664240, SAFE, 4138.456680, 1572.630005, 1, 11960
0.664270, 0.664280, SAFE, 4153.756727, 1556.029785, 1, 11960
0.664190, 0.664200, SAFE, 4152.693358, 1564.787964, 1, 11960
0.664030, 0.664040, SAFE, 4153.068394, 1538.260376, 1, 11960
0.663950, 0.663960, SAFE, 4153.594465, 1567.027344, 1, 11960
0.664110, 0.664120, SAFE, 4160.635608, 1567.714355, 1, 11960
0.664140, 0.664150, SAFE, 4160.370722, 1550.527100, 1, 11960
0.664000, 0.664010, SAFE, 4163.823785, 1555.309814, 1, 11960
0.664180, 0.664190, SAFE, 4162.625396, 1575.526855, 1, 11960
0.664090, 0.664100, SAFE, 4168.670505, 1567.794678, 1, 11960
0.664130, 0.664140, SAFE, 4170.301177, 1559.993530, 1, 11960
0.664150, 0.664160, SAFE, 4171.514960, 1564.252319, 1, 11960
0.663960, 0.663970, SAFE, 4176.152202, 1548.820068, 1, 11960
0.664210, 0.664220, SAFE, 4176.055581, 1552.887329, 1, 11960
0.664260, 0.664270, SAFE, 4182.074261, 1551.472534, 1, 11960
0.664290, 0.664300, SAFE, 4181.588701, 1574.133179, 1, 11960
0.664200, 0.664210, SAFE, 4183.592897, 1576.745728, 1, 11960
0.664070, 0.664080, SAFE, 4187.760683, 1565.425293, 1, 11960
0.664020, 0.664030, SAFE, 4188.710170, 1578.163330, 1, 11960
0.664160, 0.664170, SAFE, 4189.422024, 1561.339600, 1, 11960
0.663900, 0.663910, SAFE, 4188.979993, 1567.763550, 1, 11960
0.663990, 0.664000, SAFE, 4190.545030, 1526.627930, 1, 11960
0.664040, 0.664050, SAFE, 4196.978605, 1566.893311, 1, 11960
0.663910, 0.663920, SAFE, 4197.909802, 1575.136963, 1, 11960
0.663980, 0.663990, SAFE, 4201.024171, 1583.789917, 1, 11960
0.664240, 0.664250, SAFE, 4203.731107, 1571.080566, 1, 11960
0.664080, 0.664090, SAFE, 4204.720511, 1568.741577, 1, 11960
0.663940, 0.663950, SAFE, 4207.266460, 1549.404663, 1, 11960
0.664060, 0.664070, SAFE, 4209.600679, 1552.920654, 1, 11960
0.664050, 0.664060, SAFE, 4209.769973, 1560.155884, 1, 11960
0.664170, 0.664180, SAFE, 4213.197227, 1577.425293, 1, 11960
0.663970, 0.663980, SAFE, 4210.635604, 1594.550415, 1, 11960
0.663920, 0.663930, SAFE, 4212.933313, 1546.088013, 1, 11960
0.664120, 0.664130, SAFE, 4216.585985, 1578.356689, 1, 11960
0.664220, 0.664230, SAFE, 4228.194298, 1583.218994, 1, 11960
0.663930, 0.663940, SAFE, 4231.008317, 1585.708740, 1, 11960
0.664280, 0.664290, SAFE, 4250.872508, 1555.994385, 1, 11960
0.664350, 0.664360, SAFE, 5173.724964, 1898.101318, 4, 14999
0.664310, 0.664320, SAFE, 6924.730120, 2534.819336, 2, 19877
0.664320, 0.664330, SAFE, 7351.381651, 2739.008301, 3, 20776
0.664300, 0.664310, SAFE, 7724.776850, 2853.151123, 5, 22550
0.664340, 0.664350, SAFE, 8498.862167, 3217.907715, 6, 23815
0.664380, 0.664390, SAFE, 8661.527822, 3343.327637, 5, 23700
0.664370, 0.664380, SAFE, 8661.429938, 3304.862793, 5, 23700
0.664410, 0.664420, SAFE, 8688.389085, 3326.927246, 5, 23700
0.664400, 0.664410, SAFE, 8711.368251, 3330.093994, 5, 23700
0.664390, 0.664400, SAFE, 8821.135707, 3390.329102, 5, 23700
0.664360, 0.664370, SAFE, 9443.589239, 3620.502441, 6, 25904
