X1 lower, X1 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
0.652550, 0.652600, SAFE, 4437.016885, 1882.500366, 2, 12858
0.652600, 0.652650, SAFE, 4465.350705, 1900.141479, 2, 12858
0.652500, 0.652550, SAFE, 4474.800644, 1906.044922, 2, 12858
0.652650, 0.652700, SAFE, 4474.701379, 1922.406006, 2, 12858
0.652850, 0.652900, SAFE, 4502.394441, 1908.279785, 2, 12858
0.652900, 0.652950, SAFE, 4515.549240, 1928.485596, 2, 12858
0.652750, 0.652800, SAFE, 4526.444456, 1922.151367, 2, 12858
0.652700, 0.652750, SAFE, 4535.745799, 1909.021729, 2, 12858
0.652800, 0.652850, SAFE, 4536.655427, 1908.941650, 2, 12858
0.652950, 0.653000, SAFE, 4568.931561, 1954.755493, 2, 12858
0.650000, 0.650050, SAFE, 6786.461735, 2921.969482, 2, 19099
0.650100, 0.650150, SAFE, 6822.792313, 2968.312500, 2, 19099
0.650050, 0.650100, SAFE, 6850.846375, 2930.747803, 2, 19099
0.653000, 0.653050, SAFE, 4500.331876, 1953.358765, 2, 12858
0.653150, 0.653200, SAFE, 4489.871282, 1903.687500, 2, 12858
0.653250, 0.653300, SAFE, 4519.207126, 1918.958740, 2, 12858
0.653300, 0.653350, SAFE, 4522.253065, 1944.799805, 2, 12858
0.653050, 0.653100, SAFE, 4590.046512, 1953.725830, 2, 12858
0.653400, 0.653450, SAFE, 4504.426465, 1919.174072, 2, 12858
0.653200, 0.653250, SAFE, 4533.625472, 1927.436157, 2, 12858
0.653100, 0.653150, SAFE, 4582.332014, 1966.333496, 2, 12858
0.653350, 0.653400, SAFE, 4547.863643, 1922.267944, 2, 12858
0.653450, 0.653500, SAFE, 4621.641021, 1990.333374, 2, 12858
0.651450, 0.651500, SAFE, 9619.393864, 4289.674316, 7, 25131
0.651600, 0.651650, SAFE, 9623.250980, 4260.846680, 7, 25131
0.651700, 0.651750, SAFE, 9622.267660, 4289.178711, 7, 25131
0.651500, 0.651550, SAFE, 9635.164997, 4287.448730, 7, 25131
0.651750, 0.651800, SAFE, 9655.303524, 4245.969727, 7, 25131
0.651650, 0.651700, SAFE, 9674.038039, 4283.370605, 7, 25131
0.650400, 0.650450, SAFE, 10699.801114, 4728.342773, 8, 28389
0.650350, 0.650400, SAFE, 10877.628500, 4791.593262, 8, 28389
0.650450, 0.650500, SAFE, 10993.506021, 4800.736328, 8, 28389
0.651550, 0.651600, SAFE, 11152.645314, 4903.370117, 8, 29477
0.651350, 0.651400, SAFE, 11267.870702, 4989.792969, 8, 29477
0.653500, 0.653550, SAFE, 4502.697354, 1929.562500, 2, 12858
0.653600, 0.653650, SAFE, 4526.737798, 1947.315674, 2, 12858
0.653550, 0.653600, SAFE, 4564.983369, 1973.363037, 2, 12858
0.651850, 0.651900, SAFE, 11466.609681, 5003.391602, 9, 31079
0.652050, 0.652100, SAFE, 11470.363853, 4978.415039, 9, 31079
0.651800, 0.651850, SAFE, 11518.401520, 5041.494141, 9, 31079
0.652000, 0.652050, SAFE, 11620.975079, 5082.008789, 9, 31079
0.650150, 0.650200, SAFE, 12719.205356, 5492.589355, 6, 35689
0.651400, 0.651450, SAFE, 13226.550791, 5772.806152, 10, 35176
0.651950, 0.652000, SAFE, 13245.065780, 5777.767090, 11, 36778
0.653700, 0.653750, SAFE, 4497.031467, 1933.565063, 2, 12858
0.653650, 0.653700, SAFE, 4548.641874, 1942.988892, 2, 12858
0.653950, 0.654000, SAFE, 4463.026650, 1910.829468, 2, 12858
0.653800, 0.653850, SAFE, 4497.919740, 1919.053833, 2, 12858
0.653750, 0.653800, SAFE, 4519.870875, 1912.315674, 2, 12858
0.653850, 0.653900, SAFE, 4531.994835, 1929.467651, 2, 12858
0.653900, 0.653950, SAFE, 4656.636600, 1924.334229, 2, 12858
0.651300, 0.651350, SAFE, 14094.030581, 6133.607910, 12, 37732
0.651900, 0.651950, SAFE, 14173.967985, 6142.192383, 13, 39091
0.650200, 0.650250, SAFE, 14482.304807, 6152.519531, 8, 40085
0.650500, 0.650550, SAFE, 14664.801405, 6498.477051, 13, 38392
0.650950, 0.651000, SAFE, 15021.779186, 6696.154785, 13, 38392
0.651000, 0.651050, SAFE, 15076.853934, 6685.287598, 15, 39402
0.651050, 0.651100, SAFE, 15190.064070, 6793.166016, 15, 39402
0.650900, 0.650950, SAFE, 15237.033501, 6790.789551, 15, 39402
0.651100, 0.651150, SAFE, 15257.031636, 6824.398926, 16, 40289
0.651150, 0.651200, SAFE, 15312.858283, 6783.671387, 15, 40167
0.651250, 0.651300, SAFE, 15410.451314, 6834.444824, 15, 40972
0.650600, 0.650650, SAFE, 16239.785484, 7244.986816, 13, 41509
0.650250, 0.650300, SAFE, 16300.170738, 7069.288086, 11, 43817
0.650750, 0.650800, SAFE, 16367.105635, 7326.854492, 15, 41748
0.650650, 0.650700, SAFE, 16412.016210, 7321.322754, 14, 41625
0.650850, 0.650900, SAFE, 16477.640102, 7289.761230, 16, 42642
0.650300, 0.650350, SAFE, 16495.720606, 7052.493652, 12, 44456
0.650800, 0.650850, SAFE, 16651.791518, 7344.914551, 16, 42378
0.654000, 0.654050, SAFE, 7582.847276, 3203.858154, 3, 21554
0.652200, 0.652250, SAFE, 16901.333863, 7195.434082, 13, 48729
0.650550, 0.650600, SAFE, 17114.999772, 7595.659180, 15, 44084
0.652250, 0.652300, SAFE, 17141.936332, 7205.098633, 13, 48729
0.652300, 0.652350, SAFE, 17354.281683, 7384.805176, 13, 48729
0.652350, 0.652400, SAFE, 17396.095092, 7423.177246, 13, 48729
0.652400, 0.652450, SAFE, 17864.172203, 7618.579590, 14, 48844
0.650700, 0.650750, SAFE, 17856.708161, 8091.771484, 16, 44720
0.654050, 0.654100, SAFE, 9091.166078, 3890.633057, 4, 25577
0.654750, 0.654800, SAFE, 7443.429557, 3180.414551, 2, 21434
0.654850, 0.654900, SAFE, 7403.350104, 3162.645996, 2, 21434
0.654800, 0.654850, SAFE, 7492.899672, 3185.322754, 2, 21434
0.652150, 0.652200, SAFE, 20001.286464, 8497.943359, 14, 57425
0.655000, 0.655050, SAFE, 8407.964086, 3671.885498, 7, 23157
0.656300, 0.656350, SAFE, 4150.043486, 1692.164062, 2, 13119
0.656350, 0.656400, SAFE, 4228.968179, 1706.631104, 2, 13119
0.656400, 0.656450, SAFE, 4181.679804, 1719.052368, 2, 13119
0.656450, 0.656500, SAFE, 4207.080858, 1714.828857, 2, 13119
0.656500, 0.656550, SAFE, 4210.282451, 1713.536133, 2, 13119
0.655050, 0.655100, SAFE, 8415.732332, 3660.148438, 7, 23157
0.656600, 0.656650, SAFE, 4174.865957, 1692.728271, 2, 13119
0.656550, 0.656600, SAFE, 4231.082989, 1725.937378, 2, 13119
0.651200, 0.651250, SAFE, 21557.062967, 9398.793945, 27, 59311
0.655100, 0.655150, SAFE, 8384.810715, 3640.313721, 7, 23157
