X1 lower, X1 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
0.750000, 0.750050, SAFE, 3845.402365, 1576.671875, 1, 11963
0.752150, 0.752200, SAFE, 4042.127227, 1717.245972, 1, 11963
0.752300, 0.752350, SAFE, 5164.573422, 2246.657471, 2, 14418
0.752350, 0.752400, SAFE, 5271.036372, 2268.389648, 2, 14418
0.752200, 0.752250, SAFE, 7042.123875, 2968.913330, 2, 20143
0.750650, 0.750700, SAFE, 7352.208080, 3063.909180, 3, 22085
0.750700, 0.750750, SAFE, 7371.279887, 3038.088623, 3, 22085
0.751500, 0.751550, SAFE, 7378.762844, 3008.496094, 3, 22340
0.751100, 0.751150, SAFE, 7423.113112, 3031.200928, 3, 22340
0.751200, 0.751250, SAFE, 7421.953068, 3027.127441, 3, 22340
0.751450, 0.751500, SAFE, 7419.596715, 3035.843994, 3, 22340
0.750350, 0.750400, SAFE, 7425.996454, 3092.351807, 3, 22085
0.750750, 0.750800, SAFE, 7423.472939, 3092.440918, 3, 22085
0.750550, 0.750600, SAFE, 7436.887046, 3081.606445, 3, 22085
0.751250, 0.751300, SAFE, 7443.918010, 3017.781494, 3, 22340
0.750500, 0.750550, SAFE, 7470.587575, 3072.939697, 3, 22085
0.750400, 0.750450, SAFE, 7478.613999, 3118.243164, 3, 22085
0.751400, 0.751450, SAFE, 7489.277168, 3064.833008, 3, 22340
0.751150, 0.751200, SAFE, 7490.059575, 3053.433838, 3, 22340
0.751550, 0.751600, SAFE, 7502.661265, 3038.851562, 3, 22340
0.750600, 0.750650, SAFE, 7507.473593, 3095.362061, 3, 22085
0.751350, 0.751400, SAFE, 7509.942340, 3071.146240, 3, 22340
0.750450, 0.750500, SAFE, 7512.335924, 3106.694336, 3, 22085
0.751300, 0.751350, SAFE, 7558.351101, 3092.225830, 3, 22340
0.751050, 0.751100, SAFE, 7613.195739, 3097.428223, 4, 23227
0.751000, 0.751050, SAFE, 7649.186584, 3111.841797, 4, 23227
0.750900, 0.750950, SAFE, 7719.261567, 3118.378906, 4, 23227
0.750950, 0.751000, SAFE, 7732.590192, 3137.730713, 4, 23227
0.752250, 0.752300, SAFE, 8238.073983, 3571.091064, 3, 22601
0.751750, 0.751800, SAFE, 9438.037150, 3986.517334, 7, 27226
0.751850, 0.751900, SAFE, 9517.765218, 4074.678711, 7, 27226
0.751800, 0.751850, SAFE, 9623.711317, 4124.139648, 7, 27226
0.751900, 0.751950, SAFE, 9677.898829, 4144.253906, 7, 27226
0.751950, 0.752000, SAFE, 9954.138593, 4254.143555, 8, 28385
0.752000, 0.752050, SAFE, 10124.025136, 4302.785645, 8, 28385
0.752050, 0.752100, SAFE, 10271.288429, 4417.146484, 8, 28385
0.750800, 0.750850, SAFE, 10844.842262, 4480.941895, 6, 32049
0.753050, 0.753100, SAFE, 6842.773913, 2716.408691, 5, 21008
0.750100, 0.750150, SAFE, 11769.929455, 4892.690918, 7, 35304
0.752950, 0.753000, SAFE, 12001.690278, 5033.884766, 7, 34222
0.750200, 0.750250, SAFE, 12133.376895, 5093.525391, 6, 35180
0.753950, 0.754000, SAFE, 4614.145966, 1931.493164, 2, 13631
0.754000, 0.754050, SAFE, 4616.457566, 1954.443359, 2, 13631
0.753800, 0.753850, SAFE, 4653.430498, 1947.128174, 2, 13631
